TEAM_ID,W_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,TM_TOV_PCT,TS_PCT,PACE,SEASON_ID,PLAYOFF_WINS
1610612761,0.195,99.4,108.9,-9.5,1.27,16.0,0.339,0.602,0.175,0.504,94.36,1997-98,0
1610612762,0.756,110.9,103.8,7.2,1.64,19.4,0.352,0.684,0.169,0.569,90.55,1997-98,13
1610612763,0.232,102.4,110.2,-7.8,1.4,17.9,0.34,0.652,0.182,0.527,93.6,1997-98,0
1610612764,0.512,103.9,103.2,0.7,1.64,17.5,0.339,0.673,0.151,0.513,92.98,1997-98,0
1610612737,0.62,98.4,95.3,3.1,1.05,13.0,0.353,0.701,0.17,0.492,87.1,1998-99,3
1610612738,0.38,98.7,100.8,-2.1,1.33,16.3,0.33,0.666,0.171,0.501,93.02,1998-99,0
1610612766,0.52,100.4,100.4,0.0,1.39,17.6,0.266,0.678,0.172,0.537,91.43,1998-99,0
1610612741,0.26,91.4,101.7,-10.4,1.31,16.4,0.299,0.684,0.173,0.47,89.19,1998-99,0
1610612739,0.44,98.2,100.1,-1.9,1.39,17.9,0.295,0.656,0.178,0.52,87.66,1998-99,0
1610612742,0.38,100.2,103.0,-2.7,1.33,14.7,0.321,0.673,0.151,0.502,90.8,1998-99,0
1610612743,0.28,101.4,108.6,-7.3,1.31,15.3,0.319,0.66,0.16,0.511,91.99,1998-99,0
1610612765,0.58,102.4,98.4,4.0,1.28,16.4,0.331,0.697,0.179,0.528,87.93,1998-99,2
1610612744,0.42,96.0,98.9,-2.9,1.35,15.8,0.367,0.69,0.167,0.471,90.96,1998-99,0
1610612745,0.62,103.5,101.0,2.5,1.3,16.9,0.312,0.678,0.178,0.545,90.45,1998-99,1
1610612754,0.66,106.6,102.2,4.3,1.55,16.4,0.31,0.671,0.146,0.537,88.16,1998-99,9
1610612746,0.18,98.3,107.8,-9.6,1.03,13.2,0.332,0.646,0.173,0.497,91.04,1998-99,0
1610612747,0.62,106.1,102.8,3.3,1.45,16.9,0.323,0.671,0.162,0.538,92.95,1998-99,3
1610612748,0.66,102.9,97.1,5.8,1.37,17.1,0.299,0.683,0.172,0.54,86.35,1998-99,2
1610612749,0.56,102.9,101.2,1.8,1.43,16.8,0.312,0.648,0.161,0.53,88.64,1998-99,0
1610612750,0.5,99.9,99.4,0.5,1.9,18.1,0.348,0.673,0.138,0.481,92.86,1998-99,1
1610612751,0.32,97.0,101.2,-4.2,1.23,14.3,0.328,0.682,0.159,0.485,93.73,1998-99,0
1610612752,0.54,97.2,95.9,1.2,1.2,15.9,0.303,0.671,0.181,0.509,88.22,1998-99,12
1610612753,0.66,98.9,96.3,2.6,1.3,16.6,0.36,0.685,0.181,0.498,89.93,1998-99,1
1610612755,0.56,97.8,95.5,2.4,1.14,14.7,0.356,0.679,0.179,0.494,90.56,1998-99,3
1610612756,0.54,103.9,101.6,2.2,1.83,19.1,0.306,0.671,0.148,0.526,91.54,1998-99,0
1610612757,0.7,102.8,96.2,6.6,1.39,16.6,0.345,0.687,0.167,0.521,90.81,1998-99,7
1610612758,0.54,101.2,101.6,-0.4,1.34,16.4,0.328,0.654,0.17,0.514,97.36,1998-99,2
1610612759,0.74,102.7,93.6,9.1,1.45,17.4,0.329,0.674,0.168,0.523,89.88,1998-99,15
1610612760,0.5,103.2,104.2,-0.9,1.42,16.7,0.344,0.673,0.167,0.519,91.22,1998-99,0
1610612761,0.46,99.8,101.8,-1.9,1.3,16.1,0.359,0.675,0.175,0.504,90.67,1998-99,0
1610612762,0.74,104.2,96.7,7.4,1.48,19.0,0.329,0.677,0.182,0.545,88.37,1998-99,5
1610612763,0.16,97.1,106.3,-9.3,1.14,15.3,0.342,0.645,0.185,0.498,90.29,1998-99,0
1610612764,0.36,99.8,102.1,-2.3,1.45,16.8,0.308,0.673,0.161,0.507,91.11,1998-99,0
1610612737,0.341,100.1,105.8,-5.7,1.22,14.6,0.334,0.698,0.164,0.503,93.55,1999-00,0
1610612738,0.427,102.9,103.9,-1.1,1.38,15.9,0.327,0.705,0.159,0.52,96.19,1999-00,0
1610612766,0.598,102.5,99.7,2.8,1.68,18.4,0.283,0.712,0.153,0.53,95.58,1999-00,1
1610612741,0.207,92.8,102.8,-10.0,1.05,15.8,0.331,0.676,0.208,0.49,90.93,1999-00,0
1610612739,0.39,98.7,102.2,-3.5,1.36,17.3,0.308,0.685,0.177,0.516,97.36,1999-00,0
1610612742,0.488,104.7,105.2,-0.5,1.61,16.7,0.281,0.647,0.142,0.532,96.64,1999-00,0
1610612743,0.427,102.2,104.5,-2.3,1.49,17.2,0.321,0.688,0.161,0.517,95.95,1999-00,0
1610612765,0.512,105.2,103.8,1.4,1.33,15.7,0.295,0.694,0.16,0.548,97.56,1999-00,0
1610612744,0.232,98.0,106.5,-8.4,1.42,16.3,0.346,0.673,0.163,0.484,97.11,1999-00,0
1610612745,0.415,103.3,104.2,-0.8,1.24,16.3,0.321,0.691,0.181,0.536,95.54,1999-00,0
1610612754,0.683,106.8,101.7,5.1,1.6,17.5,0.276,0.691,0.149,0.552,94.7,1999-00,13
1610612746,0.183,96.1,108.0,-11.9,1.12,14.2,0.286,0.674,0.169,0.499,95.69,1999-00,0
1610612747,0.817,105.4,96.4,9.0,1.68,17.4,0.324,0.705,0.146,0.525,95.04,1999-00,15
1610612748,0.634,102.5,99.4,3.1,1.57,18.3,0.304,0.696,0.163,0.533,91.22,1999-00,6
