PLAYOFF_WINS
4
0
0
15
0
0
0
2
0
9
0
0
4
8
0
0
0
6
2
0
2
1
0
0
6
0
13
0
0
1
0
4
15
1
0
0
0
0
2
10
0
7
2
0
2
0
4
0
0
1
1
0
4
4
0
13
0
0
3
0
0
0
0
0
0
2
0
1
9
0
3
2
0
1
0
12
1
3
0
7
2
15
0
0
5
0
0
0
0
1
0
0
0
0
0
0
0
13
0
15
6
2
1
0
9
0
5
4
10
2
1
2
0
4
0
0
0
0
6
0
0
4
0
0
0
0
1
0
15
0
10
1
0
2
1
12
1
0
3
7
0
6
2
0
0
0
9
4
0
0
4
0
4
0
0
2
0
15
0
0
0
0
11
0
1
2
0
0
10
4
2
2
1
0
0
4
0
0
10
0
8
0
0
2
0
6
0
0
2
2
14
2
0
3
6
2
3
7
16
0
0
1
0
0
0
0
0
1
1
16
0
1
10
0
13
0
6
1
10
7
3
0
0
0
0
0
7
6
0
0
0
0
0
3
0
2
0
6
1
15
0
3
6
0
0
0
11
0
0
0
0
0
0
1
9
0
1
16
6
0
0
4
0
0
0
2
7
14
1
10
0
0
2
7
3
0
16
1
0
5
0
0
0
0
10
0
2
7
0
0
0
2
0
0
0
6
12
2
1
10
5
3
0
0
1
0
0
0
0
6
0
0
0
0
6
0
0
16
0
2
9
0
3
16
0
0
7
1
0
10
0
2
0
0
14
0
0
0
0
0
7
0
5
2
1
0
0
9
0
1
6
2
4
7
0
3
10
5
10
0
0
7
0
0
16
0
3
0
0
0
1
0
0
13
2
0
2
0
1
0
1
0
4
15
0
1
6
2
2
0
0
0
0
0
16
0
1
3
0
0
0
0
2
10
0
10
2
0
4
0
4
0
6
5
0
9
0
16
1
0
0
0
1
0
4
7
14
0
0
0
2
0
9
2
1
0
2
0
2
0
0
0
2
11
0
2
0
0
3
0
0
0
6
4
5
3
16
0
0
0
0
1
13
1
7
0
0
0
10
0
0
0
2
2
3
0
5
0
0
2
0
6
2
11
2
0
8
16
0
0
0
6
5
0
0
0
0
0
15
0
0
0
3
0
5
0
1
0
3
0
0
3
2
10
6
0
3
13
0
0
0
0
10
0
0
0
5
0
16
3
0
6
8
0
2
0
6
14
1
0
0
16
9
0
7
0
6
0
2
0
0
0
0
0
0
0
1
0
3
0
0
6
4
2
0
3
0
16
1
0
0
15
1
3
2
0
0
7
0
0
0
0
11
0
0
0
5
0
6
10
0
0
2
9
0
0
2
13
0
0
0
16
6
0
3
0
2
0
2
0
0
0
1
0
0
0
0
0
8
4
4
7
0
11
0
0
0
12
0
0
0
16
11
3
0
0
0
1
3
1
5
0
2
0
5
0
0
0
1
4
5
2
0
5
1
0
0
0
0
7
0
14
6
0
2
0
0
0
10
0
0
0
1
1
7
0
8
0
3
16
1
0
0
10
0
0
0
0
2
9
0
0
5
0
7
16
0
14
5
0
0
0
3
1
0
0
1
0
0
7
3
0
10
1
7
0
0
0
3
4
0
0
0
0
10
2
1
0
16
0
0
1
0
0
7
14
2
0
0
0
6
1
1
14
0
0
1
0
9
1
0
16
0
0
0
0
6
11
7
2
2
0
0
0
6
7
0
0
0
2
2
0
2
11
0
0
0
1
0
16
0
6
0
0
1
8
2
13
1
1
0
6
0
0
7
6
0
3
0
0
0
0
