TEAM_ID,PLAYOFF_WINS,SEASON_ID
1610612737,4,1996-97
1610612741,15,1996-97
1610612745,9,1996-97
1610612747,4,1996-97
1610612748,8,1996-97
1610612752,6,1996-97
1610612753,2,1996-97
1610612756,2,1996-97
1610612757,1,1996-97
1610612760,6,1996-97
1610612762,13,1996-97
1610612765,2,1996-97
1610612737,1,1997-98
1610612739,1,1997-98
1610612741,15,1997-98
1610612745,2,1997-98
1610612747,7,1997-98
1610612748,2,1997-98
1610612750,2,1997-98
1610612752,4,1997-98
1610612754,10,1997-98
1610612756,1,1997-98
1610612757,1,1997-98
1610612759,4,1997-98
1610612760,4,1997-98
1610612762,13,1997-98
1610612766,4,1997-98
1610612737,3,1998-99
1610612745,1,1998-99
1610612747,3,1998-99
1610612748,2,1998-99
1610612750,1,1998-99
1610612752,12,1998-99
1610612753,1,1998-99
1610612754,9,1998-99
1610612755,3,1998-99
1610612757,7,1998-99
1610612758,2,1998-99
1610612759,15,1998-99
1610612762,5,1998-99
1610612765,2,1998-99
1610612747,15,1999-00
1610612748,6,1999-00
1610612749,2,1999-00
1610612750,1,1999-00
1610612752,9,1999-00
1610612754,13,1999-00
1610612755,5,1999-00
1610612756,4,1999-00
1610612757,10,1999-00
1610612758,2,1999-00
1610612759,1,1999-00
1610612760,2,1999-00
1610612762,4,1999-00
1610612766,1,1999-00
1610612742,4,2000-01
1610612747,15,2000-01
1610612749,10,2000-01
1610612750,1,2000-01
1610612752,2,2000-01
1610612753,1,2000-01
1610612754,1,2000-01
1610612755,12,2000-01
1610612756,1,2000-01
1610612758,3,2000-01
1610612759,7,2000-01
1610612761,6,2000-01
1610612762,2,2000-01
1610612766,6,2000-01
1610612738,9,2001-02
1610612742,4,2001-02
1610612747,15,2001-02
1610612751,11,2001-02
1610612753,1,2001-02
1610612754,2,2001-02
1610612755,2,2001-02
1610612758,10,2001-02
1610612759,4,2001-02
1610612760,2,2001-02
1610612761,2,2001-02
1610612762,1,2001-02
1610612765,4,2001-02
1610612766,4,2001-02
1610612738,4,2002-03
1610612740,2,2002-03
1610612742,10,2002-03
1610612747,6,2002-03
1610612749,2,2002-03
1610612750,2,2002-03
1610612751,14,2002-03
1610612753,3,2002-03
1610612754,2,2002-03
1610612755,6,2002-03
1610612756,2,2002-03
1610612757,3,2002-03
1610612758,7,2002-03
1610612759,16,2002-03
1610612762,1,2002-03
1610612765,8,2002-03
1610612740,3,2003-04
1610612742,1,2003-04
1610612743,1,2003-04
1610612745,1,2003-04
1610612747,13,2003-04
1610612748,6,2003-04
1610612749,1,2003-04
1610612750,10,2003-04
1610612751,7,2003-04
1610612754,10,2003-04
1610612758,7,2003-04
1610612759,6,2003-04
1610612765,16,2003-04
1610612738,3,2004-05
1610612741,2,2004-05
1610612742,6,2004-05
1610612743,1,2004-05
1610612745,3,2004-05
1610612748,11,2004-05
1610612754,6,2004-05
1610612755,1,2004-05
1610612756,9,2004-05
1610612758,1,2004-05
1610612759,16,2004-05
1610612760,6,2004-05
1610612764,4,2004-05
1610612765,15,2004-05
1610612739,7,2005-06
1610612741,2,2005-06
1610612742,14,2005-06
1610612743,1,2005-06
1610612746,7,2005-06
1610612747,3,2005-06
1610612748,16,2005-06
1610612749,1,2005-06
1610612751,5,2005-06
1610612754,2,2005-06
1610612756,10,2005-06
1610612758,2,2005-06
1610612759,7,2005-06
1610612764,2,2005-06
1610612765,10,2005-06
1610612739,12,2006-07
1610612741,6,2006-07
1610612742,2,2006-07
1610612743,1,2006-07
1610612744,5,2006-07
1610612745,3,2006-07
1610612747,1,2006-07
1610612751,6,2006-07
1610612756,6,2006-07
1610612759,16,2006-07
1610612761,2,2006-07
1610612762,9,2006-07
1610612765,10,2006-07
1610612737,3,2007-08
1610612738,16,2007-08
1610612739,7,2007-08
1610612740,7,2007-08
1610612742,1,2007-08
1610612745,2,2007-08
1610612747,14,2007-08
1610612753,5,2007-08
1610612755,2,2007-08
1610612756,1,2007-08
1610612759,9,2007-08
1610612761,1,2007-08
1610612762,6,2007-08
1610612764,2,2007-08
1610612765,10,2007-08
1610612737,4,2008-09
1610612738,7,2008-09
1610612739,10,2008-09
1610612740,1,2008-09
1610612741,3,2008-09
1610612742,5,2008-09
1610612743,10,2008-09
1610612745,7,2008-09
1610612747,16,2008-09
1610612748,3,2008-09
