ident,SBBE,SBBR,SBBV,SBCF,SBCT,SBCY,SBEG,SBFI,SBFL,SBFZ,SBGL,SBGO,SBGR,SBJP,SBKP,SBMO,SBNF,SBPA,SBPS,SBPV,SBRB,SBRF,SBRJ,SBSG,SBSL,SBSP,SBSV,SBVT,SBMQ,SBCG,SBTE,SBAR,SBPJ
SBGL,2448.908397249187,913.972288762494,3423.2295470432123,360.6885059123398,672.7085942540805,1566.5165284186103,2847.5690456217576,1180.6882326273142,759.0288725656717,2176.5779270653647,0.0,928.3697633064212,336.3889571386132,1954.8501514594102,398.4052518498242,1678.4553792627178,708.1349344640244,1121.7133785687533,832.1190735886693,2703.407054769221,2989.8893779161504,1859.1529483029658,14.3332957890506,2074.962020165311,2251.2700168306537,359.5290884341775,1217.9081671338495,417.8373518064072,2679.142165952976,1208.6543728284707,1974.2171820669753,1469.4333909890597,1494.1181408714406
SBGO,1697.9847249532731,162.63446997881834,2505.591731831656,647.8137022343951,989.2579677970488,744.5263514090977,1919.629981631104,1136.1758893789267,1229.3210187538612,1845.3655239988311,928.3697633064212,0.0,808.7314862519656,1875.1360932030177,741.6976664454226,1654.8982966463755,1140.9760015276074,1498.934164117019,1081.0009406171434,1818.7477656688545,2154.7371186587434,1816.5988209034751,942.6592418689371,1932.4500346766877,1654.1990845244763,822.6477606322774,1242.430680416066,1024.8959704072497,1866.099888302197,715.8329240801894,1463.5033513793928,1453.644242652174,711.1848806636661
SBGR,2461.597103579612,854.4581187409128,3303.166145383733,495.0912405823025,359.652183493421,1329.4828115714067,2697.2562199336385,846.0658811643814,515.5492856489351,2346.095934337453,336.3889571386132,808.7314862519656,0.0,2188.995452878543,82.66236687660232,1919.2302388640073,441.78335154367915,865.9029135026597,1095.5049465768766,2474.584298607109,2728.987917402253,2100.1924512573673,342.9903258037348,2295.714241433787,2330.3006321353487,28.83082028208227,1451.59374035882,729.2406327948087,2657.98084071105,907.7051784989965,2079.842012613053,1704.9079868860854,1474.7365252734178
SBJP,1630.6556332444995,1712.5457601033074,3065.049985878283,1695.4753987195934,2540.6699043075787,2490.716559973382,2816.4170054187475,2915.681168285519,2694.4351067578764,545.700177987246,1954.8501514594102,1875.1360932030177,2188.995452878543,0.0,2192.5093449308283,278.66894561617937,2628.251098701221,3052.98528799428,1126.3297086945613,3192.4701158908674,3633.943993590886,108.87788428937561,1960.4627771989883,160.06619818859323,1146.6983707342167,2217.730669177873,739.1891818689024,1566.9196675432438,1959.0242189504065,2589.052940672258,900.879940969781,485.95877766671003,1514.104503509775
SBKP,2409.298183279515,798.0002944826346,3228.856425969707,498.16631833470467,348.41464815192853,1247.0580633425816,2620.0145648683274,798.7684707280096,537.6982163992811,2330.0719545585034,398.4052518498242,741.6976664454226,82.66236687660232,2192.5093449308283,0.0,1925.8277629258946,456.87630105838895,874.2053225285179,1114.902420488398,2392.1229628019146,2646.6081431738207,2106.2423092832087,406.77818901447665,2294.6639935170037,2292.114576101477,84.60562920174993,1458.3207910959752,771.0296425419176,2599.06213995929,828.1087964122677,2048.585596475006,1710.722005830514,1419.9000881900897
SBMO,1669.0858176501235,1492.7820295391148,3081.788087699563,1427.7884253516709,2273.2688532922703,2307.3084545887828,2774.4806804931372,2662.7322728232552,2421.5958855145736,706.0031928796889,1678.4553792627178,1654.8982966463755,1919.2302388640073,278.66894561617937,1925.8277629258946,0.0,2356.8659817921034,2781.2989126438056,848.466868392509,3086.7900977119803,3517.5363965618812,181.20474366803955,1683.8126915517093,418.80319245230197,1209.8158172742446,1948.0292989420886,467.724176813301,1288.3910077780872,1997.7909685994268,2362.221992968969,919.9551814384862,215.44223205218785,1378.999616844473
SBNF,2835.5528385983357,1226.608909661508,3549.0194923912186,936.6226741695137,159.08003073349167,1467.6276001794809,2915.5484313933607,599.5360974039129,88.4753421938066,2785.217986438674,708.1349344640244,1140.9760015276074,441.78335154367915,2628.251098701221,456.87630105838895,2356.8659817921034,0.0,424.8000322057031,1523.7460612179825,2580.6426852305376,2767.0827695424623,2538.0174445108687,707.7817505610942,2736.767909931028,2741.9439122573945,413.55960064063663,1889.748958326257,1125.8931834268537,3005.6762941112797,939.9354607032076,2503.7086022996914,2143.2718071744525,1844.754102976563
SBPA,3194.4952781554043,1605.1456880339113,3789.413694508256,1360.9852832571908,533.7800017862877,1672.7642695006548,3139.9475430479783,588.2426186586765,362.80732620348914,3203.966326590431,1121.7133785687533,1498.934164117019,865.9029135026597,3052.98528799428,874.2053225285179,2781.2989126438056,424.8000322057031,0.0,1945.6807906664237,2712.5407506378533,2831.6650896046312,2962.4758715974967,1119.746006546659,3161.4394248114036,3134.0083999980443,837.4523455213957,2314.353299909626,1538.4539213140436,3340.8322835702875,1115.992840085134,2907.445782804187,2567.8868034332427,2210.107174604943
SBPS,1965.3561515121198,946.2242364847214,3199.0940124235576,627.0580806237955,1454.8100905006854,1822.0926766692457,2733.7101188895235,1893.3366657880083,1583.617254391545,1409.2913821059894,832.1190735886693,1081.0009406171434,1095.5049465768766,1126.3297086945613,1114.902420488398,848.466868392509,1523.7460612179825,1945.6807906664237,0.0,2824.4503676480495,3200.5776195199487,1028.4318304796766,836.8467121419889,1253.391329131279,1640.2097632049345,1124.2108497782283,400.8764873945741,443.32361523831935,2256.2523205761004,1703.8137680897912,1329.4069637306316,644.0916544004457,1213.696689148564
SBPV,1891.958513725825,1908.7960142270495,1333.2402967565313,2464.9703220813567,2433.784871215077,1145.1342533678649,760.8741560760699,2125.1128255968206,2653.581263025615,2856.2871321137927,2703.407054769221,1818.7477656688545,2474.584298607109,3192.4701158908674,2392.1229628019146,3086.7900977119803,2580.6426852305376,2712.5407506378533,2824.4503676480495,0.0,456.6347678716884,3187.541177696023,2716.9603171136364,3163.7668178497793,2279.1612230248115,2473.65558281584,2831.1495742930847,2842.9350165268293,1722.87347642358,1640.8099428663415,2361.4432811919933,2949.2208929890276,1713.7207359619806
